request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_168,43454.63,affordable_with_plan,partial_payment,2026-01-07:43454.63|2026-01-15:5925.37,2026-01-15,none,Pay INR 43454.63 today and the remaining INR 5925.37 on 2026-01-15. The projected balance stays above the INR 114400 minimum (lowest point INR 114400).
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. The projected balance stays above the ZAR 18700 minimum (lowest point ZAR 28886.52).
request_170,34422077.09,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Pay in 3 installments of IDR 12804480 (option payment_option_483). The projected balance stays above the IDR 24715800 minimum (lowest point IDR 32982905.04).
request_171,110.95,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 1878.80 request. Although EUR 110.95 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 500."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Pay in 2 installments of ZAR 5304 (option payment_option_489). The projected balance stays above the ZAR 27200 minimum (lowest point ZAR 32657.68).
request_173,55681.19,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,Pay in 3 installments of INR 39173.33 (option payment_option_491). The projected balance stays above the INR 79100 minimum (lowest point INR 83108.25).
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Pay in 3 installments of EUR 397.35 (option payment_option_494). The projected balance stays above the EUR 700 minimum (lowest point EUR 2618.86).
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. The projected balance stays above the EUR 1700 minimum (lowest point EUR 2248.86).
request_176,0,not_affordable,not_recommended,none,,none,Do not proceed with this EUR 1239.70 request.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 today. The projected balance stays above the USD 1300 minimum (lowest point USD 1661.01).
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Pay in 3 installments of EUR 1018.54 (option payment_option_506). The projected balance stays above the EUR 1400 minimum (lowest point EUR 3843.56).
request_179,14489069.84,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 41648000 in full. The projected balance stays above the IDR 41430800 minimum (lowest point IDR 55919869.84)."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. The projected balance stays above the INR 37300 minimum (lowest point INR 52725).
request_181,578.25,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 5059.20 request. Although USD 578.25 is available today, the full amount cannot be completed safely within 90 days while keeping USD 2000."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. The projected balance stays above the ZAR 31100 minimum (lowest point ZAR 46111.49).
request_183,22842813.65,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,Pay in 3 installments of IDR 9313546.67 (option payment_option_521). The projected balance stays above the IDR 11878300 minimum (lowest point IDR 14111304.57).
request_184,22642,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 251900 request. Although INR 22642 is available today, the full amount cannot be completed safely within 90 days while keeping INR 110800."
request_185,491.77,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 2026-01-15, then pay EUR 1257.30 in full. The projected balance stays above the EUR 1300 minimum (lowest point EUR 1791.77)."
request_186,10220.69,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 2026-03-15, then pay ZAR 26554 in full. The projected balance stays above the ZAR 22000 minimum (lowest point ZAR 32220.69)."
request_187,33648.93,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 187500 in full. The projected balance stays above the INR 128300 minimum (lowest point INR 161948.93)."
request_188,238.30,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 2464 request. Although EUR 238.30 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 900."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. The projected balance stays above the EUR 400 minimum (lowest point EUR 536.20).
request_190,791.52,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2557.50 in full. The projected balance stays above the EUR 1600 minimum (lowest point EUR 2391.52)."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. The projected balance stays above the EUR 500 minimum (lowest point EUR 676.05).
request_192,29.71,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 2046 request. Although USD 29.71 is available today, the full amount cannot be completed safely within 90 days while keeping USD 1000."
request_193,211.14,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,Pay in 3 installments of EUR 420.23 (option payment_option_549). The projected balance stays above the EUR 1000 minimum (lowest point EUR 1211.14).
request_194,47429.67,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Wait until 2025-10-15, then pay INR 132800 in full. The projected balance stays above the INR 113600 minimum (lowest point INR 161029.67)."
request_195,962.18,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,Pay in 3 installments of EUR 405.74 (option payment_option_555). The projected balance stays above the EUR 700 minimum (lowest point EUR 815.81).
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. The projected balance stays above the EUR 500 minimum (lowest point EUR 622.02).
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,Pay in 3 installments of IDR 17658853.33 (option payment_option_562). The projected balance stays above the IDR 26245900 minimum (lowest point IDR 35725428.86).
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. The projected balance stays above the INR 124300 minimum (lowest point INR 150513.04).
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Pay in 3 installments of IDR 8206986.67 (option payment_option_569). The projected balance stays above the IDR 25359500 minimum (lowest point IDR 50231076.77).
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. The projected balance stays above the IDR 20114600 minimum (lowest point IDR 25754698.89).
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. The projected balance stays above the IDR 17304500 minimum (lowest point IDR 49278908.27).
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. The projected balance stays above the INR 147800 minimum (lowest point INR 179459.48).
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Pay in 3 installments of EUR 499.93 (option payment_option_583). The projected balance stays above the EUR 1400 minimum (lowest point EUR 2343.94).
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. The projected balance stays above the EUR 1300 minimum (lowest point EUR 1483.20).
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. The projected balance stays above the IDR 13994300 minimum (lowest point IDR 17426414.08).
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Pay in 3 installments of EUR 486.96 (option payment_option_592). The projected balance stays above the EUR 900 minimum (lowest point EUR 2458.75).
request_207,6965.65,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 11830 in full. The projected balance stays above the ZAR 13600 minimum (lowest point ZAR 20565.65)."
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 today. The projected balance stays above the IDR 10470700 minimum (lowest point IDR 10562964.40).
request_209,3062.16,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 56914 request. Although ZAR 3062.16 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 18400."
request_210,1068.63,affordable_with_plan,partial_payment,2026-04-06:1068.63|2026-04-15:291.39,2026-04-15,none,Pay USD 1068.63 today and the remaining USD 291.39 on 2026-04-15. The projected balance stays above the USD 2000 minimum (lowest point USD 2000).
request_211,583.33,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 1788.60 in full. The projected balance stays above the EUR 1500 minimum (lowest point EUR 2083.33)."
request_212,7816237.96,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 71934000 request. Although IDR 7816237.96 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 29579800."
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Pay in 3 installments of USD 1165.63 (option payment_option_610). The projected balance stays above the USD 2100 minimum (lowest point USD 8336.59).
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Pay in 2 installments of INR 36270 (option payment_option_614). The projected balance stays above the INR 174900 minimum (lowest point INR 217818.42).
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Pay in 3 installments of ZAR 10395.15 (option payment_option_616). The projected balance stays above the ZAR 15700 minimum (lowest point ZAR 24496.51).
request_216,721.02,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Wait until 2026-09-15, then pay USD 3332.40 in full. The projected balance stays above the USD 1800 minimum (lowest point USD 2521.02)."
request_217,23227.42,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,Pay in 3 installments of ZAR 12889.07 (option payment_option_622). The projected balance stays above the ZAR 26800 minimum (lowest point ZAR 33891.41).
request_218,20237763.37,not_affordable,not_recommended,none,2025-09-15,none,"Do not proceed with this IDR 61142000 request. Although IDR 20237763.37 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 34477200."
request_219,735.32,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,Pay in 3 installments of EUR 580.01 (option payment_option_628). The projected balance stays above the EUR 1100 minimum (lowest point EUR 1248.85).
request_220,215.79,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with this EUR 3118.50 request. Although EUR 215.79 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 1100."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. The projected balance stays above the INR 81500 minimum (lowest point INR 108933.13).
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. The projected balance stays above the ZAR 27300 minimum (lowest point ZAR 64551.36).
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. The projected balance stays above the EUR 800 minimum (lowest point EUR 1052.82).
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Pay in 2 installments of IDR 5370040 (option payment_option_645). The projected balance stays above the IDR 22187600 minimum (lowest point IDR 28793553.41).
request_225,12200104.79,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,Pay in 3 installments of IDR 7647120 (option payment_option_647). The projected balance stays above the IDR 17670700 minimum (lowest point IDR 23763813.19).
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. The projected balance stays above the INR 209400 minimum (lowest point INR 272965.75).
request_227,12839.03,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 259700 request. Although INR 12839.03 is available today, the full amount cannot be completed safely within 90 days while keeping INR 62900."
request_228,4656900,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 63327000 request. Although IDR 4656900 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 26191200."
request_229,564.69,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,Pay in 3 installments of EUR 529.29 (option payment_option_659). The projected balance stays above the EUR 1000 minimum (lowest point EUR 1286.48).
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today. The projected balance stays above the EUR 2000 minimum (lowest point EUR 2799.81).
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Pay in 3 installments of ZAR 12378.08 (option payment_option_666). The projected balance stays above the ZAR 24300 minimum (lowest point ZAR 30203.55).
request_232,935.57,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Wait until 2024-08-15, then pay EUR 1970.10 in full. The projected balance stays above the EUR 2400 minimum (lowest point EUR 3335.57)."
request_233,5468200,affordable_with_plan,partial_payment,2025-11-07:5468200|2025-11-15:772800,2025-11-15,none,Pay IDR 5468200 today and the remaining IDR 772800 on 2025-11-15. The projected balance stays above the IDR 10365700 minimum (lowest point IDR 10365700).
request_234,324.26,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 2026-09-15, then pay EUR 1213.30 in full. The projected balance stays above the EUR 700 minimum (lowest point EUR 1024.26)."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. The projected balance stays above the USD 700 minimum (lowest point USD 832.47).
request_236,6012213.87,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 52383000 request. Although IDR 6012213.87 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 16768600."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. The projected balance stays above the IDR 22431500 minimum (lowest point IDR 69287016.34).
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Pay in 3 installments of USD 230.05 (option payment_option_686). The projected balance stays above the USD 700 minimum (lowest point USD 870.63).
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. The projected balance stays above the USD 600 minimum (lowest point USD 772.38).
request_240,20020,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 101200 request. Although INR 20020 is available today, the full amount cannot be completed safely within 90 days while keeping INR 52800."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Pay in 3 installments of IDR 7298026.67 (option payment_option_695). The projected balance stays above the IDR 19252000 minimum (lowest point IDR 76369547.83).
request_242,142.55,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 1966.80 request. Although EUR 142.55 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 600."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. The projected balance stays above the ZAR 19900 minimum (lowest point ZAR 21178.33).
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. The projected balance stays above the ZAR 45900 minimum (lowest point ZAR 62662.49).
request_245,40476.85,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Wait until 2026-01-15, then pay INR 128500 in full. The projected balance stays above the INR 94600 minimum (lowest point INR 135076.85)."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Pay in 3 installments of ZAR 22216.48 (option payment_option_710). The projected balance stays above the ZAR 39300 minimum (lowest point ZAR 147438.25).
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. The projected balance stays above the EUR 1300 minimum (lowest point EUR 1600.61).
request_248,160.66,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 1965.60 request. Although USD 160.66 is available today, the full amount cannot be completed safely within 90 days while keeping USD 1300."
request_249,214.40,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Wait until 2026-03-15, then pay USD 643.20 in full. The projected balance stays above the USD 600 minimum (lowest point USD 814.40)."
request_250,17762.28,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 124278 request. Although ZAR 17762.28 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 35300."
request_251,954.05,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 1513.60 request. Although EUR 954.05 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 1300."
request_252,5932874.65,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 2026-09-15, then pay IDR 28082000 in full. The projected balance stays above the IDR 15152200 minimum (lowest point IDR 21085074.65)."
request_253,1635.69,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,Pay in 3 installments of EUR 984.60 (option payment_option_729). The projected balance stays above the EUR 2300 minimum (lowest point EUR 2859.02).
request_254,824.45,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Wait until 2025-10-15, then pay USD 3535.20 in full. The projected balance stays above the USD 2500 minimum (lowest point USD 3324.45)."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. The projected balance stays above the IDR 9813900 minimum (lowest point IDR 30412245.72).
request_256,180834.61,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,Pay in 3 installments of INR 75816 (option payment_option_737). The projected balance stays above the INR 168600 minimum (lowest point INR 210122.08).
request_257,661.91,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Wait until 2026-01-15, then pay USD 1352.40 in full. The projected balance stays above the USD 1600 minimum (lowest point USD 2261.91)."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. The projected balance stays above the USD 500 minimum (lowest point USD 799.40).
request_259,193.69,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 935 in full. The projected balance stays above the EUR 600 minimum (lowest point EUR 793.69)."
request_260,9954891.75,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 52079000 request. Although IDR 9954891.75 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 20727700."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. The projected balance stays above the EUR 1500 minimum (lowest point EUR 2040.08).
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. The projected balance stays above the IDR 31018500 minimum (lowest point IDR 40330043.25).
request_263,6076.39,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 51546 request. Although ZAR 6076.39 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 24100."
request_264,17336.26,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 2026-06-15, then pay INR 111300 in full. The projected balance stays above the INR 59500 minimum (lowest point INR 76836.26)."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. The projected balance stays above the INR 189700 minimum (lowest point INR 709887.85).
request_266,833.76,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,Pay in 3 installments of EUR 324.13 (option payment_option_764). The projected balance stays above the EUR 900 minimum (lowest point EUR 1073.01).
request_267,1634.71,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,Pay in 3 installments of EUR 667.33 (option payment_option_767). The projected balance stays above the EUR 1500 minimum (lowest point EUR 1653.27).
request_268,1059.82,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Pay in 3 installments of EUR 841.22 (option payment_option_770). The projected balance stays above the EUR 1400 minimum (lowest point EUR 1618.60).
request_269,13397.45,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Wait until 2025-11-15, then pay ZAR 15490 in full. The projected balance stays above the ZAR 23100 minimum (lowest point ZAR 36497.45)."
request_270,242.77,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 3028.80 request. Although USD 242.77 is available today, the full amount cannot be completed safely within 90 days while keeping USD 1400."
request_271,29294.34,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 2024-11-15, then pay INR 91300 in full. The projected balance stays above the INR 58200 minimum (lowest point INR 87494.34)."
request_272,6102616.21,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Pay in 3 installments of IDR 4709466.67 (option payment_option_780). The projected balance stays above the IDR 7508600 minimum (lowest point IDR 8901749.54).
request_273,10764260.96,affordable_with_plan,partial_payment,2026-04-07:10764260.96|2026-04-15:5096739.04,2026-04-15,none,Pay IDR 10764260.96 today and the remaining IDR 5096739.04 on 2026-04-15. The projected balance stays above the IDR 18774600 minimum (lowest point IDR 18774600).
request_274,2581.68,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Pay in 3 installments of EUR 940.75 (option payment_option_785). The projected balance stays above the EUR 1800 minimum (lowest point EUR 2164.04).
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. The projected balance stays above the IDR 12760100 minimum (lowest point IDR 16079652.81).
